FVAAL,DFAL,FGSM-No-Adv,DFAL-No-Adv,DFAL+FV-Adv,DFAL+FGSM-Adv,BADGE+FV-Adv,BADGE+FGSM-Adv,BADGE,Random+FV-Adv,Random+FGSM-Adv,Random
0.2980999946594238,0.341399997472763,0.3098999857902527,0.3165999948978424,0.3169000148773193,0.2811999917030334,0.3025999963283539,0.2994000017642975,0.3203000128269195,0.3025000095367431,0.2933999896049499,0.3073000013828277
0.3456999957561493,0.3592999875545501,0.3201000094413757,0.3357999920845032,0.3251999914646148,0.3134999871253967,0.3305000066757202,0.3244999945163727,0.3222000002861023,0.3287000060081482,0.3255000114440918,0.3449000120162964
0.3465999960899353,0.3538999855518341,0.3274999856948852,0.3237999975681305,0.3379999995231628,0.3093000054359436,0.3328000009059906,0.3321000039577484,0.3691000044345855,0.332500010728836,0.3352000117301941,0.3456999957561493
0.3497999906539917,0.3601999878883362,0.3540999889373779,0.3495999872684479,0.3630000054836273,0.3461000025272369,0.3565999865531921,0.3260000050067901,0.3580999970436096,0.3483000099658966,0.3483000099658966,0.350600004196167
0.3634999990463257,0.3668999969959259,0.359499990940094,0.3501000106334686,0.3452999889850616,0.3535999953746795,0.3707000017166137,0.368800014257431,0.3601999878883362,0.3585000038146972,0.3582000136375427,0.3671999871730804
0.3720000088214874,0.3734999895095825,0.3700999915599823,0.357699990272522,0.3774000108242035,0.3492000102996826,0.3763000071048736,0.3693999946117401,0.3711000084877014,0.3903000056743622,0.3619999885559082,0.3522000014781952
0.3743000030517578,0.3853999972343445,0.334199994802475,0.3578000068664551,0.3788000047206878,0.3628000020980835,0.382099986076355,0.3722000122070312,0.3889999985694885,0.3725999891757965,0.3591000139713287,0.3668999969959259
0.3860999941825866,0.3842999935150146,0.3722000122070312,0.3783000111579895,0.3492000102996826,0.3885000050067901,0.3955000042915344,0.3752000033855438,0.3889000117778778,0.3991999924182892,0.3824000060558319,0.3680999875068664
0.3826000094413757,0.3822999894618988,0.3711999952793121,0.3837000131607055,0.391400009393692,0.3813999891281128,0.3813999891281128,0.3668999969959259,0.3892000019550323,0.4092000126838684,0.3795999884605407,0.3729000091552734
0.3858999907970428,0.3955000042915344,0.3772999942302704,0.4041000008583069,0.3835000097751617,0.376800000667572,0.3943000137805938,0.376800000667572,0.3779000043869018,0.4002000093460083,0.3858000040054321,0.3892000019550323
0.3928999900817871,0.39410001039505,0.382099986076355,0.383899986743927,0.4025000035762787,0.3740000128746032,0.3844000101089477,0.3889000117778778,0.3864000141620636,0.402099996805191,0.3905999958515167,0.373199999332428
0.3869000077247619,0.4020000100135803,0.3772000074386596,0.3837000131607055,0.3831000030040741,0.3756999969482422,0.4059000015258789,0.376800000667572,0.3910999894142151,0.4086999893188476,0.3943000137805938,0.3767000138759613
0.4004000127315521,0.3792999982833862,0.3908999860286712,0.3754999935626983,0.4016999900341034,0.3862999975681305,0.3977000117301941,0.3747999966144562,0.3964000046253204,0.4219000041484833,0.3941999971866607,0.3955000042915344
0.3944999873638153,0.4009000062942505,0.3844000101089477,0.3912999927997589,0.3898000121116638,0.3847000002861023,0.4223999977111816,0.4092999994754791,0.3864000141620636,0.3986999988555908,0.3935000002384186,0.3815000057220459
0.3919000029563904,0.4165000021457672,0.351500004529953,0.3896999955177307,0.3880000114440918,0.3889000117778778,0.4129999876022339,0.3926999866962433,0.3975000083446502,0.413100004196167,0.3939999938011169,0.3756999969482422
0.38960000872612,0.3847000002861023,0.3959999978542328,0.3768999874591827,0.420199990272522,0.3714999854564667,0.4194999933242798,0.388700008392334,0.3901000022888183,0.414000004529953,0.393200010061264,0.3982999920845032
0.4065000116825104,0.387499988079071,0.384799987077713,0.3795999884605407,0.4081999957561493,0.3668999969959259,0.4146000146865845,0.3750999867916107,0.3725999891757965,0.4246000051498413,0.3921999931335449,0.3860000073909759
0.4068999886512756,0.4023000001907348,0.3894999921321869,0.3815999925136566,0.4000000059604645,0.4025000035762787,0.4309000074863434,0.393200010061264,0.3856000006198883,0.4052999913692474,0.3937999904155731,0.3756999969482422
0.4234000146389007,0.4187000095844269,0.3855000138282776,0.3745000064373016,0.3919999897480011,0.3995000123977661,0.4135000109672546,0.3786999881267547,0.3912000060081482,0.4257999956607818,0.3964999914169311,0.3984000086784363
0.4014999866485595,0.3795999884605407,0.3885000050067901,0.3770000040531158,0.421099990606308,0.388399988412857,0.4239999949932098,0.3952000141143799,0.397599995136261,0.4257999956607818,0.4034000039100647,0.4115999937057495
