FGSM_w_samples_10,FGSM_bounded_10,DFAL,DFAL_w_samples_10,badge,coreset,coreset_w_samples_10,badge_w_samples_10,rand,rand_w_samples_10,FVAAL_rand_w_samples_10,DFAL_FGSM_bounded_10,badge_FGSM_bounded_10,rand_FGSM_bounded_10,FGSM_0,DFAL_0
0.447460001707077,0.4415000081062316,0.38142000436782836,0.441540002822876,0.5056199967861176,0.4222199976444244,0.414900004863739,0.6078399896621705,0.4790800094604492,0.6014000058174134,0.5479000031948089,0.4849799990653992,0.6031599998474121,0.597160005569458,0.3586199939250946,0.3430000007152557
0.632099986076355,0.6538999915122986,0.5721399903297424,0.6049399852752686,0.5987400054931641,0.4545199930667877,0.42549999952316286,0.6982199907302856,0.5607999920845032,0.6793199896812439,0.6840400099754333,0.6504799842834472,0.6869400024414063,0.6537200093269349,0.48799999952316286,0.517059999704361
0.709279990196228,0.7218199849128724,0.6735599994659424,0.6898399949073791,0.6632400035858155,0.49575999975204466,0.5076599895954133,0.7265599966049194,0.6504999995231628,0.7116999983787536,0.7288199901580811,0.6873199939727783,0.7177000045776367,0.7046800017356872,0.5572800040245056,0.5740600109100342
0.7391600012779236,0.7418599963188172,0.7016799926757813,0.7204600095748901,0.6802800059318542,0.5361400008201599,0.5030600011348725,0.746780002117157,0.6636399984359741,0.7309000015258789,0.7531199932098389,0.7266399979591369,0.7323799967765808,0.7249200105667114,0.6271999955177308,0.6236800074577331
0.75343998670578,0.760319995880127,0.7386399984359742,0.7303799986839294,0.7016200065612793,0.537720000743866,0.5536600112915039,0.7644800066947937,0.6891200065612793,0.7395999908447266,0.760319995880127,0.7512399911880493,0.7490400075912476,0.7366000056266785,0.678059995174408,0.6827800035476684
0.7698399901390076,0.7649199962615967,0.7589200019836426,0.7547600030899048,0.7120399832725525,0.556060004234314,0.5456199944019318,0.7666600108146667,0.7101999998092652,0.7509000062942505,0.7686399936676025,0.7604000091552734,0.763539981842041,0.7434800028800964,0.720139992237091,0.7089800000190735
0.775600004196167,0.7746200084686279,0.7640400052070617,0.7702799916267395,0.727180004119873,0.5751800060272216,0.5862800002098083,0.7773600101470948,0.7239799976348877,0.7627799987792969,0.7774000048637391,0.7757199883460999,0.773199999332428,0.7555999875068664,0.7370800018310547,0.7096000075340271
0.785920011997223,0.7818599820137024,0.7713400006294251,0.7758799910545349,0.7365800023078919,0.6157799959182739,0.6134199976921082,0.7831199884414672,0.7284799933433532,0.7689599990844727,0.7798399925231934,0.7843800067901612,0.7770399928092957,0.7615599989891052,0.7409200072288513,0.7333600044250488
0.7900199890136719,0.7893400073051453,0.7730599880218506,0.784280002117157,0.7342199921607971,0.5960600018501282,0.5980599999427796,0.7905600070953369,0.7325200080871582,0.7713800072669983,0.7899399995803833,0.7901600003242493,0.7853000044822693,0.767739999294281,0.7325799942016602,0.7215399861335754
0.7949400067329406,0.7910199880599975,0.7882999897003173,0.7883800029754638,0.7476199984550476,0.6283600091934204,0.6322799921035767,0.7971000075340271,0.741700005531311,0.773799991607666,0.7901399970054627,0.7893999934196472,0.78924001455307,0.7652799963951111,0.758460009098053,0.7515399932861329
