FGSM_w_samples_5,FGSM_bounded_5,DFAL,DFAL_w_samples_5,badge,badge_w_samples_5,rand,rand_w_samples_5,FVAAL_rand_w_samples_5,DFAL_FGSM_bounded_5,badge_FGSM_bounded_5,rand_FGSM_bounded_5,FGSM_0,DFAL_0,FGSM_w_samples_10,FGSM_bounded_10,DFAL_w_samples_10,DFAL_FGSM_bounded_10,badge_w_samples_10,badge_FGSM_bounded_10,rand_w_samples_10,rand_FGSM_bounded_10
0.30238000154495237,0.29688000679016113,0.31128000020980834,0.30353999733924864,0.30634000301361086,0.3146399915218353,0.30502000451087946,0.3110799968242645,0.31018000245094296,0.29354000091552734,0.3053800046443939,0.29620000123977663,0.2999799966812134,0.3000399947166443,0.2897599995136261,0.27117999792098996,0.29423999786376953,0.27739999890327455,0.29377999901771545,0.2833200037479401,0.30992000102996825,0.282559996843338
0.335999995470047,0.32598000168800356,0.33404000401496886,0.33155999779701234,0.3247999966144562,0.32032000422477724,0.31995999813079834,0.33778000473976133,0.33860000371932986,0.32264000177383423,0.334579998254776,0.33233999609947207,0.32634000182151796,0.32661999464035035,0.3299399971961975,0.3195800006389618,0.32289999127388,0.31420000195503234,0.32441999912261965,0.31819999814033506,0.32883999943733216,0.3225200057029724
0.34896000027656554,0.3413800001144409,0.34717999696731566,0.35437999963760375,0.35673999786376953,0.33459999561309817,0.3438000023365021,0.3533799946308136,0.3528999984264374,0.34601999521255494,0.3358999907970428,0.34048000574111936,0.33439999818801874,0.33098000288009644,0.3398400008678436,0.33371999859809875,0.33404000401496886,0.32914000153541567,0.33724000453948977,0.3225000023841858,0.3379800021648407,0.3326399981975555
0.36132000088691707,0.34591999650001526,0.35317999720573423,0.3610199987888336,0.35103999972343447,0.34567999839782715,0.34631999731063845,0.36001999378204347,0.3561199963092804,0.3468400061130524,0.3535399973392486,0.35610000491142274,0.34431999921798706,0.3425599992275238,0.3452000021934509,0.3516799986362457,0.34621999859809877,0.3459200024604797,0.34965999722480773,0.3351999998092651,0.3569200038909912,0.3388000071048737
0.3650600016117096,0.36119999885559084,0.3570800006389618,0.3710199952125549,0.3629799962043762,0.35879999995231626,0.345959997177124,0.36348000168800354,0.3716199994087219,0.36022000312805175,0.3577399969100952,0.3558600008487701,0.3501199960708618,0.3530799984931946,0.3595400035381317,0.35879999995231626,0.3504199981689453,0.34670000076293944,0.36448000073432923,0.348580002784729,0.3679800033569336,0.3525000035762787
0.3714399993419647,0.3651399970054626,0.3545199930667877,0.3758799970149994,0.35862000584602355,0.3659800052642822,0.36098000407218933,0.3780999958515167,0.37615999579429626,0.36731999516487124,0.37329999804496766,0.3588199973106384,0.36365999579429625,0.34757999777793885,0.367220002412796,0.3577400028705597,0.3601799964904785,0.3593000054359436,0.36940000057220457,0.3560999929904938,0.3740400016307831,0.360999995470047
0.3797600090503693,0.36880000233650206,0.36913999915122986,0.37461999654769895,0.3649999976158142,0.3686800003051758,0.37118000388145445,0.38555999994277956,0.38949999809265134,0.36554000377655027,0.3614199936389923,0.36777999997138977,0.3529799997806549,0.36459999680519106,0.37026000022888184,0.3591600000858307,0.37581999897956847,0.36439999341964724,0.3683599948883057,0.3670800030231476,0.3833999991416931,0.36355999708175657
0.38423999547958376,0.36693999767303465,0.37843999862670896,0.38080000281333926,0.3720600068569183,0.37391999959945676,0.36789999604225154,0.3939199984073639,0.38637999892234803,0.3643999993801117,0.37661999464035034,0.370059996843338,0.3709600031375885,0.36714000105857847,0.38245999813079834,0.3664200007915497,0.3725000023841858,0.37534000277519225,0.3820199966430664,0.36913999915122986,0.3893400013446808,0.37185999751091003
0.38435999751091005,0.3709399998188019,0.37414000034332273,0.3816200017929077,0.37843999862670896,0.37442000508308404,0.36222000122070314,0.3946399986743927,0.397079998254776,0.36055999994277954,0.3660199999809265,0.37492000460624697,0.3732600033283234,0.3764800071716309,0.37551999688148496,0.37924000024795534,0.38097999691963197,0.3726199924945831,0.37711999416351316,0.3672999978065491,0.39401999711990354,0.3754799962043762
0.3866399943828583,0.37170000076293946,0.38733999729156493,0.3862999975681305,0.3718199968338013,0.3712000012397766,0.38321999907493587,0.3954800009727478,0.39860000014305114,0.3736999988555908,0.3713599979877472,0.3793600022792816,0.3748199999332428,0.3774399995803833,0.38471999764442444,0.3828999996185303,0.383240008354187,0.3739799976348877,0.39188000559806824,0.36763999462127683,0.3932400047779083,0.37296000123023987
